,Title,Published_date,Views,Likes,Comments,Month
0,"Jaipur Tour under Rs 2000 ğŸ¤‘ | Amber Fort, Jal Mahal, Jantar Mantar, Birla Mandir, Albert Hall, etc",2022-10-02,57,9,1,Oct
1,FC Road | Dagdusheth Ganpati Temple | Thorat Missal | Raja Dinkar Museum | Sujata Mastani,2022-05-21,73,4,2,May
2,Pune in 2022 | Shaniwar Wada | Lal Mahal | Aga Khan Palace | JM road Khau Gali | Pune vlog part 1,2022-05-06,177,11,5,May
3,Atal Tunnel in 2022 | Rohtang Pass | Solang Valley | Sissu | Manali vlog 4 | Amar Mandal,2022-04-18,18685,176,73,Apr
4,Manali Vlog out guyz #manali #adventure #travel,2022-04-13,76,6,0,Apr
5,Mall Road | Hidimba Devi Temple | Vashisht Temple | Van Vihar | Club House | Manali Vlog 3,2022-04-11,1082,26,9,Apr
6,Delhi to Manali | 17 hrs journey | Manali vlog 2 | Amar Mandal,2022-04-08,490,19,6,Apr
7,Tejas Rajdhani Expresss Experience | Mumbai to Delhi | Manali Vlog 1 | Amar Mandal,2022-04-05,2808,59,10,Apr
8,Imagica se bhi khatarnak ride pe baithe ğŸ˜¨ | Bike hua kharab ğŸ˜¡ | Amar Mandal,2022-02-25,54,13,2,Feb
9,"MATHERAN Tour in Rs 210 | Echo, Lord, Louis point, Charlotte Lake | complete guide | Amar Mandal",2022-01-29,166,16,2,Jan
10,Rani Bagh/Mumbai Zoo/Byculla Zoo #zoo #trending #reels #ranibagh #mumbaizoo,2022-01-18,304,14,1,Jan
11,Rani Bagh Zoo in 2022 | veer mata jijabai bhosale udyan and zoo | Mumbai Zoo ğŸ˜ | Amar Mandal,2022-01-14,253,12,10,Jan
12,elephanta caves vlog out #elephanta #caves #amarmandalvlogs,2022-01-10,388,21,1,Jan
13,Elephanta Caves in 2022 | Most Detailed video | Amar Mandal,2022-01-08,1689,35,10,Jan
14,itna lamba movie pheli baar dekha PVR me ğŸ˜± | pushpa | Amar Mandal,2022-01-05,69,7,2,Jan
15,all about year 2021 #newyear #merrychristmas #newbeginnings,2022-01-02,482,19,0,Jan
16,Coco powder ke chakkar me bohot kuch kharid liya ğŸ˜¡ | Amar Mandal,2021-12-30,60,11,6,Dec
17,SHANDAAR wedding of Rukaiya and Abbas ğŸ˜ | Amar Mandal,2021-12-27,217,27,11,Dec
18,wedding vibes â˜ºï¸ #wedding #reels #trending,2021-12-25,107,16,0,Dec
19,dost ki mehndi ğŸ¤© | Amar Mandal,2021-12-24,147,30,16,Dec
20,wedding vibes #wedding #reels #trending #amarmandalvlogs,2021-12-22,61,12,0,Dec
21,bhai ke kaam se Matheran jaana pada ğŸ¤” | Amar Mandal,2021-12-15,53,8,2,Dec
22,kanheri caves ğŸ¤© #caves #trip #nationalpark,2021-12-14,24,5,0,Dec
23,Ask Me Anything #tech #nontech,2021-12-14,32,9,0,Dec
24,jungle safari | sanjay gandhi national park in 2022 | part 3 | Amar Mandal,2021-12-12,49,9,2,Dec
25,kanheri caves in 2022 | sanjay gandhi national park | part 2 | Amar Mandal,2021-12-11,39,7,2,Dec
26,kanheri caves 2022 | Part 1 | sanjay gandhi national park,2021-12-10,53,9,2,Dec
27,scooty ne dhoka diya ğŸ˜­ | being #technicalguruji ğŸ˜‚| Amar Mandal,2021-12-08,53,10,2,Dec
28,Ask Me Anything #amarmandal #datascience #timepass,2021-12-06,59,17,0,Dec
29,exposing @aasantarika ğŸ˜± | Jalebi challenge gone wrong ğŸ¤¢ | Amar Mandal,2021-12-04,60,10,5,Dec
30,rainy day transition #rain #weather #transition,2021-12-03,31,6,1,Dec
31,trying out something new #reels #trending #savetrees #plants,2021-12-02,1175,30,0,Dec
32,saalo baad PVR theatre me gaya ğŸ˜± | pop corn ka price ticket se double ğŸ˜¤ | Amar Mandal,2021-12-01,1694,31,2,Dec
33,alibaugh vlog out. #alibaugh #travel #vlogger,2021-11-29,13,4,0,Nov
34,Ask Me Anything... #datascience #vlogger #foodvlogger,2021-11-29,78,21,0,Nov
35,alibaugh me channa bechna pada ğŸ˜± | alibaugh trip | part-2 | Amar Mandal,2021-11-27,89,16,5,Nov
36,GitHub co-pilot â™¥ï¸ #datascientist #github #gpt3 #githubcopilot #ai #python,2021-11-26,1292,26,2,Nov
37,alibaugh trip | part 1 | Amar Mandal,2021-11-24,88,14,5,Nov
38,alibaugh diaries #alibaugh #travel #travelvlog,2021-11-23,357,15,0,Nov
39,office vlog out. please do watch #datascientist #officevlog #wfo,2021-11-22,34,4,0,Nov
40,first day in office as a Data Scientist | Amar Mandal,2021-11-20,565,34,19,Nov
41,chatt puja + alien Maggie challenge ğŸ˜‹ | Amar Mandal,2021-11-16,67,5,2,Nov
42,Diwali ke din khaaya kadwaa waffle ğŸ˜‚ğŸ˜‚ | Amar Mandal,2021-11-10,88,11,0,Nov
43,IRSHALGAD FORT part 2 | Morbe Dam | Amar Mandal,2021-11-06,101,8,1,Nov
44,IRSHALGAD FORT trekking | Morbe Dam | part 1 | Amar Mandal,2021-11-02,83,8,2,Nov
45,punishment ko kiya dimaag se ğŸ˜¨ğŸ˜¨ | Missal pav challenge | Amar Mandal,2021-10-30,72,8,2,Oct
46,icecream walle ne chunna lagaya ğŸ˜¤ | Amar Mandal,2021-10-27,96,13,5,Oct
47,trekking karne se phele hua dhoka ğŸ˜±ğŸ˜¤ | Amar Mandal,2021-10-23,89,8,2,Oct
48,Humne kiya 2 challenge ek din me ğŸ˜±ğŸ˜± | jugaad karna pad gya | Amar Mandal,2021-10-19,100,19,2,Oct
49,@aasantarika ka phela promotion video | Amar Mandal,2021-10-15,105,14,5,Oct
50,chunna laga diya issko | khaya Indian dora cakes @aasantarika | Amar Mandal,2021-10-12,81,12,3,Oct
51,bhai ne banaya indian style fried rice ğŸ˜‹ | Amar Mandal,2021-10-08,95,12,2,Oct
52,Netflix N chill | chunna laga diya KFC wallo ne ğŸ˜¤ | Amar Mandal,2021-10-03,104,12,4,Oct
53,yeh kya lene bhej diya puja ke din ğŸ˜± | Amar Mandal,2021-10-01,79,14,4,Oct
54,5 tarike ke alag alag pakwaan khake maza aaya | jitiya pooja | Amar Mandal,2021-09-29,91,12,6,Sep
55,bhai ka special day ğŸ˜Š | Amar Mandal,2021-09-27,61,13,2,Sep
56,24 hrs bahar khana khane ka challenge sirf 500rs ke andar ğŸ¤‘ğŸ¤‘ | Amar Mandal,2021-09-21,123,16,6,Sep
57,tumhara bhai housie jeeta ğŸ˜± | Amar Mandal,2021-09-19,132,7,3,Sep
58,bohot dino baad mile bachpan ke dost... | Amar Mandal,2021-09-16,176,19,4,Sep
59,chalan kata aakhri din ğŸ˜¤ | Lonavala Part 5 | Amar Mandal,2021-09-14,141,22,3,Sep
60,Lonavala me loot gaye ğŸ˜¨... | Lonavala Part 4 | Amar Mandal,2021-09-12,139,15,7,Sep
61,hotel highland me hua pangaa ğŸ˜¡... | Lonavala Part 3 | Amar Mandal,2021-09-10,156,14,3,Sep
62,yeh hum kaha aa gaye ğŸ˜± | Lonavala Part 2 | Amar Mandal,2021-09-08,162,26,10,Sep
63,kuch socha na samjha bas nikal gaye | Lonavala Part 1 | Amar Mandal,2021-09-04,96,17,3,Sep
64,bhaiya ne discount de diya | Amar Mandal,2021-09-01,102,30,9,Sep
65,been thinking of doing this for a long time | Amar Mandal,2021-08-29,73,15,4,Aug
66,what I do as a Data Scientist being a Mechanical Engineer | Amar Mandal,2021-08-22,546,37,12,Aug
67,AdaBoost - Boosting Technique Algorithm | Detailed Explanation | Amar Mandal,2021-06-13,407,14,0,Jun
68,Simple Triangle pattern using python #python #patterns,2021-06-09,57,8,0,Jun
69,Hyperparameter Tuning | Optuna | HyperOpt | GridSearchCV | RandomSearchCV | Amar Mandal,2021-06-08,886,33,5,Jun
70,Random Forest Theory | Practical Implementation | Amar Mandal,2021-06-01,62,10,0,Jun
71,How to visualise Decision Tree Graph using python #python #machinelearning,2021-05-29,177,9,1,May
72,How to Visualize Decision Tree Graph | Python Code | Amar Mandal,2021-05-28,195,9,0,May
73,How to remove Python Virtual Environment #python #machinelearning | Amar Mandal,2021-05-24,703,23,0,May
74,Bagging Technique | Bootstrap Aggregation | Python Example | Amar Mandal,2021-05-22,100,10,2,May
75,"Mathematics behind Decision Tree | Entropy, Information Gain & Gini Impurity | Amar Mandal",2021-05-18,107,10,0,May
76,Support Vector Machine | Kernel Trick | SVC & SVR Theory | Amar Mandal,2021-05-12,275,15,4,May
77,Naive Bayes Algorithm Theory | Practical implementation | Amar Mandal,2021-05-08,113,8,0,May
78,"K-NN Algorithm | Euclidean, Manhattan & Hamming Distance | Amar Mandal",2021-05-04,1203,21,0,May
79,Logistic Regression in depth intuition | Sigmoid Function | Confusion Matrix | Amar Mandal,2021-04-30,100,8,2,Apr
80,Things to remember while solving Regression Problem | Amar Mandal,2021-04-25,76,15,2,Apr
81,Multiple Linear Regression Theory | OLS | P - Value | Practical Example | Amar Mandal,2021-04-23,77,13,3,Apr
82,Linear Regression Theory with example | Interview revision | Amar Mandal,2021-04-21,132,18,3,Apr
83,Create Custom Machine Learning pipeline of your own | ML Pipeline Template | Amar Mandal,2021-04-19,151,17,1,Apr
84,Why virtual Environment is important for creating projects | Python | Amar Mandal,2021-04-17,169,29,4,Apr
